# CPU microarchitecture lookup, keyed on what /proc/cpuinfo actually reports.
#
# Columns, tab-separated:
#   vendor  family  model  microarchitecture  launched  process
#
#   vendor  GenuineIntel | AuthenticAMD, matching vendor_id
#   family  decimal, matching "cpu family"
#   model   decimal, matching "model"; * matches any model in the family
#   launched  year the microarchitecture shipped, not the year this part did
#   process   fab node as marketed
#
# Keying on family/model rather than the marketing string is the whole point: "13th Gen
# Intel(R) Core(TM) i7-1360P" tells you a generation, 6/186 tells you Raptor Lake, and
# the same silicon ships under several names. Rows are added as parts are confirmed; an
# unmatched CPU prints its model string alone rather than a guess.
#
# Data as of: 2026-08-01. Confirm additions against Intel ARK or AMD's product pages —
# the family/model pair is printed by `lscpu` and by this tool under --debug.
#
# * rows are the fallback for a family and must sort after specific models; the lookup
# takes the first exact match, then the family wildcard.

GenuineIntel	6	42	Sandy Bridge	2011	32 nm
GenuineIntel	6	58	Ivy Bridge	2012	22 nm
GenuineIntel	6	60	Haswell	2013	22 nm
GenuineIntel	6	69	Haswell	2013	22 nm
GenuineIntel	6	70	Haswell	2013	22 nm
GenuineIntel	6	61	Broadwell	2014	14 nm
GenuineIntel	6	71	Broadwell	2014	14 nm
GenuineIntel	6	78	Skylake	2015	14 nm
GenuineIntel	6	94	Skylake	2015	14 nm
GenuineIntel	6	85	Skylake-SP	2017	14 nm
GenuineIntel	6	142	Kaby Lake	2016	14 nm
GenuineIntel	6	158	Kaby Lake	2016	14 nm
GenuineIntel	6	165	Comet Lake	2020	14 nm
GenuineIntel	6	166	Comet Lake	2020	14 nm
GenuineIntel	6	125	Ice Lake	2019	10 nm
GenuineIntel	6	126	Ice Lake	2019	10 nm
GenuineIntel	6	106	Ice Lake-SP	2021	10 nm
GenuineIntel	6	140	Tiger Lake	2020	10 nm
GenuineIntel	6	141	Tiger Lake	2020	10 nm
GenuineIntel	6	167	Rocket Lake	2021	14 nm
GenuineIntel	6	151	Alder Lake	2021	Intel 7
GenuineIntel	6	154	Alder Lake	2021	Intel 7
GenuineIntel	6	183	Raptor Lake	2022	Intel 7
GenuineIntel	6	186	Raptor Lake	2023	Intel 7
GenuineIntel	6	191	Raptor Lake	2023	Intel 7
GenuineIntel	6	143	Sapphire Rapids	2023	Intel 7
GenuineIntel	6	207	Emerald Rapids	2023	Intel 7
GenuineIntel	6	170	Meteor Lake	2023	Intel 4
GenuineIntel	6	189	Lunar Lake	2024	TSMC N3B
GenuineIntel	6	198	Arrow Lake	2024	TSMC N3B

AuthenticAMD	23	1	Zen	2017	14 nm
AuthenticAMD	23	8	Zen+	2018	12 nm
AuthenticAMD	23	24	Zen+	2018	12 nm
AuthenticAMD	23	49	Zen 2	2019	7 nm
AuthenticAMD	23	96	Zen 2	2019	7 nm
AuthenticAMD	23	113	Zen 2	2019	7 nm
AuthenticAMD	23	144	Zen 2	2020	7 nm
AuthenticAMD	23	*	Zen family	2017	14-7 nm
AuthenticAMD	25	1	Zen 3	2020	7 nm
AuthenticAMD	25	33	Zen 3	2020	7 nm
AuthenticAMD	25	80	Zen 3	2021	7 nm
AuthenticAMD	25	97	Zen 4	2022	5 nm
AuthenticAMD	25	116	Zen 4	2023	4 nm
AuthenticAMD	25	*	Zen 3/4	2020	7-5 nm
AuthenticAMD	26	*	Zen 5	2024	4 nm
